title,year,adrienne,anita,bob,chingti,david,gheorghe,gina,howard,jacqui,janice,joe,josee,kathy,kerrie,lisa,marty,mike,paola,serkalem,tim
17903304,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18046758,2007,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18174456,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18268147,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18388332,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18426862,2008,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18426996,2008,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
18449921,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18466438,2007,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18466536,2007,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18466556,2007,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18571476,2008,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18636528,2009,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18707223,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18719643,2008,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18776141,2008,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18806103,2008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18815239,2008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
19020323,2008,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
19060906,2009,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
19060907,2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19061720,2008,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
19063671,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19064752,2008,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19074981,2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19135199,2009,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
19141561,2009,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
19146950,2009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
19165169,2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19223316,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
19249635,2009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
19265542,2009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19278016,2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19287092,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19289634,2009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
19321221,2009,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19328595,2011,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19506113,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
19506114,2009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
19507258,2009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19542606,2009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19557197,2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19597492,2009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
